# Job 44: 44
# GPU: 6
# Command: python train.py --level 44 --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/44
# Started: 2026-01-19T22:30:54.651569
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/44/level44_100m_20260119_223059
Auto r_h_mode: none (level 44 has bounded/no W_h)
Model: Level 44, 32,996,480 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step   2200 | loss nan | lr 3.00e-04 | grad nan | tok/s 148204
step   2210 | loss nan | lr 2.94e-04 | grad nan | tok/s 148398
step   2220 | loss nan | lr 2.74e-04 | grad nan | tok/s 147832
step   2230 | loss nan | lr 2.42e-04 | grad nan | tok/s 143655
step   2240 | loss nan | lr 2.01e-04 | grad nan | tok/s 146487
step   2250 | loss nan | lr 1.55e-04 | grad nan | tok/s 145266
step   2260 | loss nan | lr 1.09e-04 | grad nan | tok/s 143285
step   2270 | loss nan | lr 6.65e-05 | grad nan | tok/s 139943
step   2280 | loss nan | lr 3.24e-05 | grad nan | tok/s 140692
step   2290 | loss nan | lr 9.84e-06 | grad nan | tok/s 142234
step   2300 | loss nan | lr 1.07e-06 | grad nan | tok/s 136897
step   2310 | loss nan | lr 6.93e-06 | grad nan | tok/s 146175
step   2320 | loss nan | lr 2.68e-05 | grad nan | tok/s 148374
step   2330 | loss nan | lr 5.89e-05 | grad nan | tok/s 149132
step   2340 | loss nan | lr 9.98e-05 | grad nan | tok/s 145295
step   2350 | loss nan | lr 1.46e-04 | grad nan | tok/s 140483
step   2360 | loss nan | lr 1.92e-04 | grad nan | tok/s 143501
step   2370 | loss nan | lr 2.35e-04 | grad nan | tok/s 142685
step   2380 | loss nan | lr 2.69e-04 | grad nan | tok/s 140845
step   2390 | loss nan | lr 2.91e-04 | grad nan | tok/s 140860
step   2400 | loss nan | lr 3.00e-04 | grad nan | tok/s 139231
step   2410 | loss nan | lr 2.94e-04 | grad nan | tok/s 140222
step   2420 | loss nan | lr 2.74e-04 | grad nan | tok/s 141532
step   2430 | loss nan | lr 2.42e-04 | grad nan | tok/s 139739
step   2440 | loss nan | lr 2.01e-04 | grad nan | tok/s 143219
step   2450 | loss nan | lr 1.55e-04 | grad nan | tok/s 141647
step   2460 | loss nan | lr 1.09e-04 | grad nan | tok/s 144412
step   2470 | loss nan | lr 6.65e-05 | grad nan | tok/s 148170
step   2480 | loss nan | lr 3.24e-05 | grad nan | tok/s 142217
step   2490 | loss nan | lr 9.84e-06 | grad nan | tok/s 139562
step   2500 | loss nan | lr 1.07e-06 | grad nan | tok/s 143505
step   2510 | loss nan | lr 6.93e-06 | grad nan | tok/s 142751
step   2520 | loss nan | lr 2.68e-05 | grad nan | tok/s 139830
step   2530 | loss nan | lr 5.89e-05 | grad nan | tok/s 138743
step   2540 | loss nan | lr 9.98e-05 | grad nan | tok/s 139753
step   2550 | loss nan | lr 1.46e-04 | grad nan | tok/s 141624
step   2560 | loss nan | lr 1.92e-04 | grad nan | tok/s 144368
step   2570 | loss nan | lr 2.35e-04 | grad nan | tok/s 138627
step   2580 | loss nan | lr 2.69e-04 | grad nan | tok/s 144166
step   2590 | loss nan | lr 2.91e-04 | grad nan | tok/s 140279
step   2600 | loss nan | lr 3.00e-04 | grad nan | tok/s 143741
